Reference,Value,Footprint,Datasheet,Qty,DNP,Exclude from BOM,Exclude from Board
"R1,R2",R_Small_US,Resistor_SMD:R_0402_1005Metric,~,2,,,
SW1,SW_Push,Button_Switch_SMD:SW_SPST_EVQPUC,~,1,,,
